time,ax
00:00:00,0
00:01:00,1
00:02:00,2
00:03:00,3
00:04:00,4
00:05:00,5
00:06:00,6
00:07:00,7
00:08:00,8
00:09:00,9
00:10:00,10
00:11:00,11
00:12:00,12
00:13:00,13
00:14:00,14
00:15:00,15
00:16:00,16
00:17:00,17
00:18:00,18
00:19:00,19
00:20:00,20
00:21:00,21
00:22:00,22
00:23:00,23
00:24:00,24
00:25:00,25
00:26:00,26
00:27:00,27
00:28:00,28
00:29:00,29
00:30:00,30
00:31:00,31
00:32:00,32
00:33:00,33
00:34:00,34
00:35:00,35
00:36:00,36
00:37:00,37
00:38:00,38
00:39:00,39
00:40:00,40
00:41:00,41
00:42:00,42
00:43:00,43
00:44:00,44
00:45:00,45
00:46:00,46
00:47:00,47
00:48:00,48
00:49:00,49
00:50:00,50
00:51:00,51
00:52:00,52
00:53:00,53
00:54:00,54
00:55:00,55
00:56:00,56
00:57:00,57
00:58:00,58
00:59:00,59
01:00:00,60
01:01:00,61
01:02:00,62
01:03:00,63
01:04:00,64
01:05:00,65
01:06:00,66
01:07:00,67
01:08:00,68
01:09:00,69
01:10:00,70
01:11:00,71
01:12:00,72
01:13:00,73
01:14:00,74
01:15:00,75
01:16:00,76
01:17:00,77
01:18:00,78
01:19:00,79
01:20:00,80
01:21:00,81
01:22:00,82
01:23:00,83
01:24:00,84
01:25:00,85
01:26:00,86
01:27:00,87
01:28:00,88
01:29:00,89
01:30:00,90
01:31:00,91
01:32:00,92
01:33:00,93
01:34:00,94
01:35:00,95
01:36:00,96
01:37:00,97
01:38:00,98
01:39:00,99
01:40:00,100
01:41:00,101
01:42:00,102
01:43:00,103
01:44:00,104
01:45:00,105
01:46:00,106
01:47:00,107
01:48:00,108
01:49:00,109
01:50:00,110
01:51:00,111
01:52:00,112
01:53:00,113
01:54:00,114
01:55:00,115
01:56:00,116
01:57:00,117
01:58:00,118
01:59:00,119
02:00:00,120
02:01:00,121
02:02:00,122
02:03:00,123
02:04:00,124
02:05:00,125
02:06:00,126
02:07:00,127
02:08:00,128
02:09:00,129
02:10:00,130
02:11:00,131
02:12:00,132
02:13:00,133
02:14:00,134
02:15:00,135
02:16:00,136
02:17:00,137
02:18:00,138
02:19:00,139
02:20:00,140
02:21:00,141
02:22:00,142
02:23:00,143
02:24:00,144
02:25:00,145
02:26:00,146
02:27:00,147
02:28:00,148
02:29:00,149
02:30:00,150
02:31:00,151
02:32:00,152
02:33:00,153
02:34:00,154
02:35:00,155
02:36:00,156
02:37:00,157
02:38:00,158
02:39:00,159
02:40:00,160
02:41:00,161
02:42:00,162
02:43:00,163
02:44:00,164
02:45:00,165
02:46:00,166
02:47:00,167
02:48:00,168
02:49:00,169
02:50:00,170
02:51:00,171
02:52:00,172
02:53:00,173
02:54:00,174
02:55:00,175
02:56:00,176
02:57:00,177
02:58:00,178
02:59:00,179
03:00:00,180
03:01:00,181
03:02:00,182
03:03:00,183
03:04:00,184
03:05:00,185
03:06:00,186
03:07:00,187
03:08:00,188
03:09:00,189
03:10:00,190
03:11:00,191
03:12:00,192
03:13:00,193
03:14:00,194
03:15:00,195
03:16:00,196
03:17:00,197
03:18:00,198
03:19:00,199
03:20:00,200
03:21:00,201
03:22:00,202
03:23:00,203
03:24:00,204
03:25:00,205
03:26:00,206
03:27:00,207
03:28:00,208
03:29:00,209
03:30:00,210
03:31:00,211
03:32:00,212
03:33:00,213
03:34:00,214
03:35:00,215
03:36:00,216
03:37:00,217
03:38:00,218
03:39:00,219
03:40:00,220
03:41:00,221
03:42:00,222
03:43:00,223
03:44:00,224
03:45:00,225
03:46:00,226
03:47:00,227
03:48:00,228
03:49:00,229
03:50:00,230
03:51:00,231
03:52:00,232
03:53:00,233
03:54:00,234
03:55:00,235
03:56:00,236
03:57:00,237
03:58:00,238
03:59:00,239
04:00:00,240
04:01:00,241
04:02:00,242
04:03:00,243
04:04:00,244
04:05:00,245
04:06:00,246
04:07:00,247
04:08:00,248
04:09:00,249
04:10:00,250
04:11:00,251
04:12:00,252
04:13:00,253
04:14:00,254
04:15:00,255
04:16:00,256
04:17:00,257
04:18:00,258
04:19:00,259
04:20:00,260
04:21:00,261
04:22:00,262
04:23:00,263
04:24:00,264
04:25:00,265
04:26:00,266
04:27:00,267
04:28:00,268
04:29:00,269
04:30:00,270
04:31:00,271
04:32:00,272
04:33:00,273
04:34:00,274
04:35:00,275
04:36:00,276
04:37:00,277
04:38:00,278
04:39:00,279
04:40:00,280
04:41:00,281
04:42:00,282
04:43:00,283
04:44:00,284
04:45:00,285
04:46:00,286
04:47:00,287
04:48:00,288
04:49:00,289
04:50:00,290
04:51:00,291
04:52:00,292
04:53:00,293
04:54:00,294
04:55:00,295
04:56:00,296
04:57:00,297
04:58:00,298
04:59:00,299
05:00:00,300
05:01:00,301
05:02:00,302
05:03:00,303
05:04:00,304
05:05:00,305
05:06:00,306
05:07:00,307
05:08:00,308
05:09:00,309
05:10:00,310
05:11:00,311
05:12:00,312
05:13:00,313
05:14:00,314
05:15:00,315
05:16:00,316
05:17:00,317
05:18:00,318
05:19:00,319
05:20:00,320
05:21:00,321
05:22:00,322
05:23:00,323
05:24:00,324
05:25:00,325
05:26:00,326
05:27:00,327
05:28:00,328
05:29:00,329
05:30:00,330
05:31:00,331
05:32:00,332
05:33:00,333
05:34:00,334
05:35:00,335
05:36:00,336
05:37:00,337
05:38:00,338
05:39:00,339
05:40:00,340
05:41:00,341
05:42:00,342
05:43:00,343
05:44:00,344
05:45:00,345
05:46:00,346
05:47:00,347
05:48:00,348
05:49:00,349
05:50:00,350
05:51:00,351
05:52:00,352
05:53:00,353
05:54:00,354
05:55:00,355
05:56:00,356
05:57:00,357
05:58:00,358
05:59:00,359
06:00:00,360
06:01:00,361
06:02:00,362
06:03:00,363
06:04:00,364
06:05:00,365
06:06:00,366
06:07:00,367
06:08:00,368
06:09:00,369
06:10:00,370
06:11:00,371
06:12:00,372
06:13:00,373
06:14:00,374
06:15:00,375
06:16:00,376
06:17:00,377
06:18:00,378
06:19:00,379
06:20:00,380
06:21:00,381
06:22:00,382
06:23:00,383
06:24:00,384
06:25:00,385
06:26:00,386
06:27:00,387
06:28:00,388
06:29:00,389
06:30:00,390
06:31:00,391
06:32:00,392
06:33:00,393
06:34:00,394
06:35:00,395
06:36:00,396
06:37:00,397
06:38:00,398
06:39:00,399
06:40:00,400
06:41:00,401
06:42:00,402
