time,ax,ax1
00:00:00,0,0
00:00:30,0.5,1
00:01:00,1,2
00:01:30,1.5,3
00:02:00,2,4
00:02:30,2.5,5
00:03:00,3,6
00:03:30,3.5,7
00:04:00,4,8
00:04:30,4.5,9
00:05:00,5,10
00:05:30,5.5,11
00:06:00,6,12
00:06:30,6.5,13
00:07:00,7,14
00:07:30,7.5,15
00:08:00,8,16
00:08:30,8.5,17
00:09:00,9,18
00:09:30,9.5,19
00:10:00,10,20
00:10:30,10.5,21
00:11:00,11,22
00:11:30,11.5,23
00:12:00,12,24
00:12:30,12.5,25
00:13:00,13,26
00:13:30,13.5,27
00:14:00,14,28
00:14:30,14.5,29
00:15:00,15,30
00:15:30,15.5,31
00:16:00,16,32
00:16:30,16.5,33
00:17:00,17,34
00:17:30,17.5,35
00:18:00,18,36
00:18:30,18.5,37
00:19:00,19,38
00:19:30,19.5,39
00:20:00,20,40
00:20:30,20.5,41
00:21:00,21,42
00:21:30,21.5,43
00:22:00,22,44
00:22:30,22.5,45
00:23:00,23,46
00:23:30,23.5,47
00:24:00,24,48
00:24:30,24.5,49
00:25:00,25,50
00:25:30,25.5,51
00:26:00,26,52
00:26:30,26.5,53
00:27:00,27,54
00:27:30,27.5,55
00:28:00,28,56
00:28:30,28.5,57
00:29:00,29,58
00:29:30,29.5,59
00:30:00,30,60
00:30:30,30.5,61
00:31:00,31,62
00:31:30,31.5,63
00:32:00,32,64
00:32:30,32.5,65
00:33:00,33,66
00:33:30,33.5,67
00:34:00,34,68
00:34:30,34.5,69
00:35:00,35,70
00:35:30,35.5,71
00:36:00,36,72
00:36:30,36.5,73
00:37:00,37,74
00:37:30,37.5,75
00:38:00,38,76
00:38:30,38.5,77
00:39:00,39,78
00:39:30,39.5,79
00:40:00,40,80
00:40:30,40.5,81
00:41:00,41,82
00:41:30,41.5,83
00:42:00,42,84
00:42:30,42.5,85
00:43:00,43,86
00:43:30,43.5,87
00:44:00,44,88
00:44:30,44.5,89
00:45:00,45,90
00:45:30,45.5,91
00:46:00,46,92
00:46:30,46.5,93
00:47:00,47,94
00:47:30,47.5,95
00:48:00,48,96
00:48:30,48.5,97
00:49:00,49,98
00:49:30,49.5,99
00:50:00,50,100
00:50:30,50.5,101
00:51:00,51,102
00:51:30,51.5,103
00:52:00,52,104
00:52:30,52.5,105
00:53:00,53,106
00:53:30,53.5,107
00:54:00,54,108
00:54:30,54.5,109
00:55:00,55,110
00:55:30,55.5,111
00:56:00,56,112
00:56:30,56.5,113
00:57:00,57,114
00:57:30,57.5,115
00:58:00,58,116
00:58:30,58.5,117
00:59:00,59,118
00:59:30,59.5,119
01:00:00,60,120
01:00:30,60.5,121
01:01:00,61,122
01:01:30,61.5,123
01:02:00,62,124
01:02:30,62.5,125
01:03:00,63,126
01:03:30,63.5,127
01:04:00,64,128
01:04:30,64.5,129
01:05:00,65,130
01:05:30,65.5,131
01:06:00,66,132
01:06:30,66.5,133
01:07:00,67,134
01:07:30,67.5,135
01:08:00,68,136
01:08:30,68.5,137
01:09:00,69,138
01:09:30,69.5,139
01:10:00,70,140
01:10:30,70.5,141
01:11:00,71,142
01:11:30,71.5,143
01:12:00,72,144
01:12:30,72.5,145
01:13:00,73,146
01:13:30,73.5,147
01:14:00,74,148
01:14:30,74.5,149
01:15:00,75,150
01:15:30,75.5,151
01:16:00,76,152
01:16:30,76.5,153
01:17:00,77,154
01:17:30,77.5,155
01:18:00,78,156
01:18:30,78.5,157
01:19:00,79,158
01:19:30,79.5,159
01:20:00,80,160
01:20:30,80.5,161
01:21:00,81,162
01:21:30,81.5,163
01:22:00,82,164
01:22:30,82.5,165
01:23:00,83,166
01:23:30,83.5,167
01:24:00,84,168
01:24:30,84.5,169
01:25:00,85,170
01:25:30,85.5,171
01:26:00,86,172
01:26:30,86.5,173
01:27:00,87,174
01:27:30,87.5,175
01:28:00,88,176
01:28:30,88.5,177
01:29:00,89,178
01:29:30,89.5,179
01:30:00,90,180
01:30:30,90.5,181
01:31:00,91,182
01:31:30,91.5,183
01:32:00,92,184
01:32:30,92.5,185
01:33:00,93,186
01:33:30,93.5,187
01:34:00,94,188
01:34:30,94.5,189
01:35:00,95,190
01:35:30,95.5,191
01:36:00,96,192
01:36:30,96.5,193
01:37:00,97,194
01:37:30,97.5,195
01:38:00,98,196
01:38:30,98.5,197
01:39:00,99,198
01:39:30,99.5,199
01:40:00,100,200
01:40:30,100.5,201
01:41:00,101,202
01:41:30,101.5,203
01:42:00,102,204
01:42:30,102.5,205
01:43:00,103,206
01:43:30,103.5,207
01:44:00,104,208
01:44:30,104.5,209
01:45:00,105,210
01:45:30,105.5,211
01:46:00,106,212
01:46:30,106.5,213
01:47:00,107,214
01:47:30,107.5,215
01:48:00,108,216
01:48:30,108.5,217
01:49:00,109,218
01:49:30,109.5,219
01:50:00,110,220
01:50:30,110.5,221
01:51:00,111,222
01:51:30,111.5,223
01:52:00,112,224
01:52:30,112.5,225
01:53:00,113,226
01:53:30,113.5,227
01:54:00,114,228
01:54:30,114.5,229
01:55:00,115,230
01:55:30,115.5,231
01:56:00,116,232
01:56:30,116.5,233
01:57:00,117,234
01:57:30,117.5,235
01:58:00,118,236
01:58:30,118.5,237
01:59:00,119,238
01:59:30,119.5,239
02:00:00,120,240
02:00:30,120.5,241
02:01:00,121,242
02:01:30,121.5,243
02:02:00,122,244
02:02:30,122.5,245
02:03:00,123,246
02:03:30,123.5,247
02:04:00,124,248
02:04:30,124.5,249
02:05:00,125,250
02:05:30,125.5,251
02:06:00,126,252
02:06:30,126.5,253
02:07:00,127,254
02:07:30,127.5,255
02:08:00,128,256
02:08:30,128.5,257
02:09:00,129,258
02:09:30,129.5,259
02:10:00,130,260
02:10:30,130.5,261
02:11:00,131,262
02:11:30,131.5,263
02:12:00,132,264
02:12:30,132.5,265
02:13:00,133,266
02:13:30,133.5,267
02:14:00,134,268
02:14:30,134.5,269
02:15:00,135,270
02:15:30,135.5,271
02:16:00,136,272
02:16:30,136.5,273
02:17:00,137,274
02:17:30,137.5,275
02:18:00,138,276
02:18:30,138.5,277
