KIND,ID,DSC,EXTRA1,TERMINAL
LINE_I,7120,蘇澳,0,Y
LINE_I,7130,蘇澳新,72.64957265,Y
LINE_I,7140,新馬,91.88034188,
LINE_I,7150,冬山,181.6239316,
LINE_I,7160,羅東,288.4615385,
LINE_I,7170,中里,326.9230769,
LINE_I,7180,二結,352.5641026,
LINE_I,7190,宜蘭,476.4957265,
LINE_I,7200,四城,555.5555556,
LINE_I,7210,礁溪,655.982906,
LINE_I,7220,頂埔,743.5897436,
LINE_I,7230,頭城,790.5982906,
LINE_I,7240,外澳,867.5213675,
LINE_I,7250,龜山,944.4444444,
LINE_I,7260,大溪,1042.735043,
LINE_I,7270,大里,1143.162393,
LINE_I,7280,石城,1200.854701,
LINE_I,7290,福隆,1316.239316,
LINE_I,7300,貢寮,1395.299145,
LINE_I,7310,雙溪,1510.683761,
LINE_I,7320,牡丹,1581.196581,
LINE_I,7330,三貂嶺,1658.119658,
LINE_I,7350,侯硐,1711.538462,
LINE_I,7360,瑞芳,1809.82906,
LINE_I,7380,四腳亭,1916.666667,
LINE_I,7390,暖暖,1965.811966,
LINE_I,0920,八堵,2000,Y
LINE_J,3430,二水,0,Y
LINE_J,3431,源泉,122,
LINE_J,3432,濁水,455,
LINE_J,3433,龍泉,661,
LINE_J,3434,集集,846,
LINE_J,3435,水里,1153,
LINE_J,3436,車埕,1250,Y
LINE_N,7000,花蓮,0,Y
LINE_N,7010,北埔,113.636,
LINE_N,7020,景美,277.778,
LINE_N,7030,新城,411.616,
LINE_N,7040,崇德,545.455,
LINE_N,7050,和仁,800.505,
LINE_N,7060,和平,994.949,
LINE_N,7070,漢本,1101.010,
LINE_N,NA,觀音號誌,1272.727,
LINE_N,7080,武塔,1426.768,
LINE_N,7090,南澳,1520.202,
LINE_N,7100,東澳,1722.222,
LINE_N,7110,永樂,1868.687,
LINE_N,NA,永春,1901.515,
LINE_N,7130,蘇澳新,2000,Y
LINE_NW,1210,新竹,0,Y
LINE_NW,1190,北新竹,63,
LINE_NW,1191,千甲,161,
LINE_NW,1192,新莊,296,
LINE_NW,1193,竹中,354,
LINE_NW,1201,上員,470,
LINE_NW,1202,榮華,672,
LINE_NW,1203,竹東,744,
LINE_NW,1204,橫山,896,
LINE_NW,1205,九讚頭,995,
LINE_NW,1206,合興,1093,
LINE_NW,1207,富貴,1151,
LINE_NW,1208,內灣,1250,Y
LINE_P,4400,高雄,0,Y
LINE_P,4410,民族,52.202,
LINE_P,4420,科工館,84.829,
LINE_P,4430,正義,143.556,
LINE_P,4440,鳳山,189.233,
LINE_P,4450,後庄,309.951,
LINE_P,4460,九曲堂,450.245,
LINE_P,4470,六塊厝,613.377,
LINE_P,5000,"屏東 ",685.155,
LINE_P,5010,"歸來 ",769.984,
LINE_P,5020,"麟洛 ",845.024,
LINE_P,5030,"西勢 ",923.328,
LINE_P,5040,"竹田 ",1044.046,
LINE_P,5050,"潮州 ",1177.814,
LINE_P,5060,"崁頂 ",1334.421,
LINE_P,5070,"南州 ",1412.724,
LINE_P,5080,"鎮安 ",1530.179,
LINE_P,5090,"林邊 ",1634.584,
LINE_P,5100,"佳冬 ",1765.09,
LINE_P,5110,"東海 ",1866.232,
LINE_P,5120,"枋寮 ",2000,Y
LINE_PX,7362,八斗子,0,Y
LINE_PX,7361,海科館,24.9,
LINE_PX,7360,瑞芳,234.064,
LINE_PX,7350,侯硐,483.068,
LINE_PX,7330,三貂嶺,607.57,
LINE_PX,7331,大華,781.873,
LINE_PX,7332,十分,926.295,
LINE_PX,7333,望古,1015.936,
LINE_PX,7334,嶺腳,1115.538,
LINE_PX,7335,平溪,1165.339,
LINE_PX,7336,菁桐,1250,Y
LINE_S,5120,枋寮,0,Y
LINE_S,5130,加祿,107.9429735,
LINE_S,5140,內獅,177.1894094,
LINE_S,5160,枋山,276.9857434,
LINE_S,5170,枋野,417.5152749,
LINE_S,NA,中央號誌,480.6517312,
LINE_S,NA,菩安號誌,649.694501,
LINE_S,NA,古莊號誌,824.8472505,
LINE_S,5190,大武,892.0570265,
LINE_S,NA,富山號誌,1052.953157,
LINE_S,5200,瀧溪,1130.346232,
LINE_S,NA,多良,1240.325866,
LINE_S,5210,金崙,1301.425662,
LINE_S,NA,香蘭,1421.588595,
LINE_S,NA,三和,1674.13442,
LINE_S,5220,太麻里,1525.458248,
LINE_S,5230,知本,1763.747454,
LINE_S,5240,康樂,1906.313646,
LINE_S,6000,台東,2000,Y
LINE_SL,4270,中洲,0,Y
LINE_SL,4271,長榮大學,318.868,
LINE_SL,4272,沙崙,650,Y
LINE_T,6000,台東,0,Y
LINE_T,6010,山里,107.3558648,
LINE_T,6020,鹿野,189.5294897,
